Sr.No,Series Name,Years,Runtime,Genre,Rating,Certificate,Votes
0,Bluey,(2018– ),7 min,"Animation,Family",9.5,TV-Y,"15,551"
1,Avatar: The Last Airbender,(2005–2008),23 min,"Animation,Action,Adventure",9.3,TV-Y7-FV,"331,137"
2,Dragon Ball Z Abridged,(2008–2018),10 min,"Animation,Action,Comedy",9.2,TV-14,"1,227"
3,The Big Lez Show,(2012–2019),NA,"Animation,Adventure,Comedy",9.2,TV-MA,"1,884"
4,Attack on Titan,(2013–2023),24 min,"Animation,Action,Adventure",9.1,TV-MA,"410,835"
5,Rick and Morty,(2013– ),23 min,"Animation,Adventure,Comedy",9.1,TV-14,"551,293"
6,Fullmetal Alchemist: Brotherhood,(2009–2010),24 min,"Animation,Action,Adventure",9.1,TV-14,"178,556"
7,Bleach: Thousand-Year Blood War,(2022– ),24 min,"Animation,Action,Adventure",9.1,TV-MA,"19,169"
8,The Legend of Hanuman,(2021– ),25 min,"Animation,Adventure,Fantasy",9.1,PG,"9,831"
9,Jorel's Brother,(2014– ),11 min,"Animation,Short,Comedy",9.1,TV-PG,"1,148"
10,Arcane,(2021– ),41 min,"Animation,Action,Adventure",9.0,TV-14,"228,066"
11,Hunter x Hunter,(2011–2014),24 min,"Animation,Action,Adventure",9.0,TV-14,"111,215"
12,Batman: The Animated Series,(1992–1995),23 min,"Animation,Action,Adventure",9.0,TV-PG,"108,444"
13,Legend of the Galactic Heroes,(1988–1997),25 min,"Animation,Action,Drama",9.0,TV-MA,"3,985"
14,One Piece,(1999– ),24 min,"Animation,Action,Adventure",8.9,TV-14,"143,165"
15,Death Note,(2006–2007),23 min,"Animation,Crime,Drama",8.9,TV-14,"342,767"
16,Gravity Falls,(2012–2016),23 min,"Animation,Adventure,Comedy",8.9,TV-Y7,"118,328"
17,Cowboy Bebop,(1998–1999),24 min,"Animation,Action,Adventure",8.9,TV-14,"126,670"
18,Hey Duggee,(2014– ),7 min,"Animation,Comedy,Family",8.9,TV-Y,"1,231"
19,Silver Fang,(1986),25 min,"Animation,Action,Adventure",8.9,NA,"3,003"
20,Hungarian Folk Tales,(1980–2012),NA,Animation,8.9,NA,"1,478"
21,Vinland Saga,(2019– ),24 min,"Animation,Action,Adventure",8.8,TV-MA,"49,895"
22,BoJack Horseman,(2014–2020),25 min,"Animation,Comedy,Drama",8.8,TV-MA,"169,194"
23,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
24,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
25,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
26,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
27,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
28,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
29,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
30,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
31,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
32,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
33,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
34,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
35,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
36,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
37,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
38,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
39,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
40,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
41,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
42,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
43,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
44,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
45,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
46,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
47,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
48,Archer,(2009– ),22 min,"Animation,Action,Comedy",8.6,TV-MA,"159,129"
49,Adventure Time,(2010–2018),11 min,"Animation,Action,Adventure",8.6,TV-PG,"101,186"
50,Avatar: The Last Airbender,(2005–2008),23 min,"Animation,Action,Adventure",9.3,TV-Y7-FV,"331,137"
